sample_ID	input	filtered	denoisedF	denoisedR	merged	nonchim
Avipro-OO-D14-5	12532	11811	11800	11805	11557	11224
Avipro-OO-D14-6	935	885	883	885	865	848
Avipro-OO-D14-7	17394	16546	16545	16542	16294	15990
Avipro-OO-D14-8	23918	22763	22711	22734	22124	20785
Avipro-OO-D14-9	17445	16601	16586	16585	16190	15390
Avipro-OO-D2-1	20346	19226	19176	19202	18616	17333
Avipro-OO-D2-10	60726	58037	57796	57923	56244	50897
Avipro-OO-D2-11	35877	33898	33799	33856	32773	30139
Avipro-OO-D2-12	54834	52482	52310	52392	50952	47084
Avipro-OO-D2-2	30202	28824	28757	28784	27989	25837
Avipro-OO-D2-3	15758	15007	14944	14993	14523	13330
Avipro-OO-D2-4	24600	23417	23334	23362	22652	20820
Avipro-OO-D2-5	26891	25669	25587	25641	24943	23200
Avipro-OO-D2-6	73169	69853	69583	69668	67381	61000
Avipro-OO-D2-7	119989	114608	114116	114338	110266	99037
Avipro-OO-D2-8	77977	73835	73584	73687	71192	64504
Avipro-OO-D2-9	91521	87051	86710	86872	84058	75000
Avipro-OO-D21-1	26975	25576	25510	25542	24800	23409
Avipro-OO-D21-10	17325	16329	16288	16303	15768	14867
Avipro-OO-D21-11	30997	29279	29185	29216	28412	26547
Avipro-OO-D21-12	17295	16302	16253	16278	15823	14710
Avipro-OO-D21-13	20962	20074	20004	20022	19520	18178
Avipro-OO-D21-2	105961	100174	99888	99946	96083	88321
Avipro-OO-D21-3	36292	34014	33915	33936	32437	29919
Avipro-OO-D21-4	28742	27119	27095	27097	26612	26122
Avipro-OO-D21-5	22923	21751	21737	21731	21287	20797
Avipro-OO-D21-6	13036	12454	12448	12445	12272	12109
Avipro-OO-D21-7	20286	19217	19205	19199	18908	18569
Avipro-OO-D21-8	32655	31019	30981	30989	30324	29007
Avipro-OO-D21-9	38868	36930	36825	36879	35827	33503
Avipro-OO-D7-1	21163	19914	19863	19883	19215	17940
Avipro-OO-D7-10	41380	39588	39491	39532	38435	35462
Avipro-OO-D7-11	18357	17294	17250	17256	16618	15449
Avipro-OO-D7-12	36570	34974	34867	34927	33901	31515
Avipro-OO-D7-2	70877	67308	67054	67213	65342	60064
Avipro-OO-D7-3	57189	54100	53936	53997	52544	48536
Avipro-OO-D7-4	36133	34087	33980	34052	32997	30453
Avipro-OO-D7-5	49035	46576	46402	46501	45082	41354
Avipro-OO-D7-6	55620	52783	52570	52668	50748	46751
Avipro-OO-D7-7	24845	23643	23569	23609	22884	21042
Avipro-OO-D7-8	23030	21802	21719	21762	21095	19238
Avipro-OO-D7-9	24505	23093	23004	23063	22195	20565
BBS866-OO-D-1-1	22231	21296	21271	21286	20782	19785
BBS866-OO-D-1-10	30148	28849	28726	28801	27871	25120
BBS866-OO-D-1-11	36811	35057	34937	34990	33803	30288
BBS866-OO-D-1-12	25571	24585	24531	24566	24060	22756
BBS866-OO-D-1-2	13224	12662	12619	12648	12228	11093
BBS866-OO-D-1-3	44147	42106	42031	42058	41180	39189
BBS866-OO-D-1-4	36630	34943	34873	34896	34024	31426
BBS866-OO-D-1-5	33431	32129	32090	32098	31515	30471
BBS866-OO-D-1-6	53334	50455	50326	50379	49130	45705
BBS866-OO-D-1-7	27264	26217	26104	26176	25409	23190
BBS866-OO-D-1-8	28711	27546	27483	27513	26808	24331
BBS866-OO-D-1-9	25660	24552	24491	24534	24007	22388
BBS866-OO-D10-1	18592	17265	17244	17250	16787	15991
BBS866-OO-D10-10	23626	22092	22024	22072	21323	19843
BBS866-OO-D10-11	46436	43769	43661	43719	42516	39393
BBS866-OO-D10-12	80249	75551	75429	75463	73753	69832
BBS866-OO-D10-13	31251	29300	29247	29264	28500	26981
BBS866-OO-D10-14	23251	21864	21784	21820	21117	19272
BBS866-OO-D10-2	25974	24461	24357	24426	23658	21674
BBS866-OO-D10-3	31686	29838	29758	29796	28827	26614
BBS866-OO-D10-4	24404	23041	23014	23033	22543	21362
BBS866-OO-D10-5	26790	25238	25221	25220	24669	23750
BBS866-OO-D10-6	14850	13900	13843	13870	13343	11957
